GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Jenkins Maven Plugin,ch.sourcepond.maven.plugin.jenkins.process,CloseStreamsListener,0,39,0,2,0,18,0,7,0,6
Jenkins Maven Plugin,ch.sourcepond.maven.plugin.jenkins.process,MavenLogOutputStream,0,16,0,0,0,6,0,2,0,2
Jenkins Maven Plugin,ch.sourcepond.maven.plugin.jenkins.process,LogBridge.new LogBridge() {...},4,3,0,0,2,1,1,1,1,1
Jenkins Maven Plugin,ch.sourcepond.maven.plugin.jenkins.process,LogBridge.new LogBridge() {...},0,7,0,0,0,3,0,2,0,2
Jenkins Maven Plugin,ch.sourcepond.maven.plugin.jenkins.process,LogBridge,0,9,0,0,0,2,0,1,0,1
Jenkins Maven Plugin,ch.sourcepond.maven.plugin.jenkins.process,ProcessExecutorFactoryImpl,10,58,0,0,3,16,0,2,0,2
Jenkins Maven Plugin,ch.sourcepond.maven.plugin.jenkins.process,ProcessFacadeImpl,0,81,0,4,0,19,0,4,0,2
Jenkins Maven Plugin,ch.sourcepond.maven.plugin.jenkins.process,RedirectStreamFactoryImpl,0,79,0,6,0,20,0,8,0,5
Jenkins Maven Plugin,ch.sourcepond.maven.plugin.jenkins.proxy,ProxyFinderImpl,2,67,2,14,0,17,2,9,0,3
Jenkins Maven Plugin,ch.sourcepond.maven.plugin.jenkins.config,ConfigBuilderFactoryImpl,0,17,0,0,0,5,0,2,0,2
Jenkins Maven Plugin,ch.sourcepond.maven.plugin.jenkins.config,ConfigBuilderImpl,2,282,7,25,0,68,7,32,0,23
Jenkins Maven Plugin,ch.sourcepond.maven.plugin.jenkins.config,ConfigImpl,6,314,0,24,2,93,0,57,0,45
Jenkins Maven Plugin,ch.sourcepond.maven.plugin.jenkins.config.download,TrustAllStrategy,0,5,0,0,0,2,0,2,0,2
Jenkins Maven Plugin,ch.sourcepond.maven.plugin.jenkins.config.download,SSLFactoryImpl,0,43,0,2,0,14,0,7,0,6
Jenkins Maven Plugin,ch.sourcepond.maven.plugin.jenkins.config.download,DownloaderImpl,75,305,18,30,0,57,16,12,0,4
Jenkins Maven Plugin,ch.sourcepond.maven.plugin.jenkins.config.download,TrustAllHostnameVerifier,0,5,0,0,0,2,0,2,0,2
Jenkins Maven Plugin,ch.sourcepond.maven.plugin.jenkins.config.download,HttpClientFacadeImpl,0,61,0,4,0,19,0,5,0,3
Jenkins Maven Plugin,ch.sourcepond.maven.plugin.jenkins.resolver,ArtifactFactoryImpl,0,20,0,0,0,5,0,3,0,3
Jenkins Maven Plugin,ch.sourcepond.maven.plugin.jenkins.resolver,ResolverImpl,0,104,0,4,0,28,0,8,0,6
Jenkins Maven Plugin,ch.sourcepond.maven.plugin.jenkins.resolver,ResolverFactoryImpl,0,31,0,0,0,10,0,2,0,2
Jenkins Maven Plugin,ch.sourcepond.maven.plugin.jenkins.process.xslt,TransformerFactoryProvider,0,5,0,0,0,2,0,2,0,2
Jenkins Maven Plugin,ch.sourcepond.maven.plugin.jenkins.process.xslt,XsltTransformerImpl,0,76,0,8,0,23,0,8,0,4
Jenkins Maven Plugin,ch.sourcepond.maven.plugin.jenkins.process.xslt,StreamFactoryImpl,0,43,0,0,0,8,0,8,0,8
Jenkins Maven Plugin,ch.sourcepond.maven.plugin.jenkins.process.xslt,TransformerInputStream,0,70,0,4,0,20,0,5,0,3
Jenkins Maven Plugin,ch.sourcepond.maven.plugin.jenkins.process.xslt,TransformerOutputStream,0,44,0,0,0,12,0,2,0,2
Jenkins Maven Plugin,ch.sourcepond.maven.plugin.jenkins.message,MessageImpl,0,19,0,0,0,7,0,2,0,2
Jenkins Maven Plugin,ch.sourcepond.maven.plugin.jenkins,CliMojo,0,245,0,6,0,86,0,31,0,28
Jenkins Maven Plugin,ch.sourcepond.maven.plugin.jenkins.process.cmd,ProxyParam,0,30,0,2,0,6,0,4,0,3
Jenkins Maven Plugin,ch.sourcepond.maven.plugin.jenkins.process.cmd,JenkinsCommand,0,30,0,2,0,6,0,3,0,2
Jenkins Maven Plugin,ch.sourcepond.maven.plugin.jenkins.process.cmd,TrustStore,0,22,1,3,0,6,1,4,0,3
Jenkins Maven Plugin,ch.sourcepond.maven.plugin.jenkins.process.cmd,Token,2,110,7,23,0,21,7,14,0,6
Jenkins Maven Plugin,ch.sourcepond.maven.plugin.jenkins.process.cmd,Jar,0,11,0,0,0,4,0,2,0,2
Jenkins Maven Plugin,ch.sourcepond.maven.plugin.jenkins.process.cmd,BaseUri,0,11,0,0,0,4,0,2,0,2
Jenkins Maven Plugin,ch.sourcepond.maven.plugin.jenkins.process.cmd,TrustStorePassword,0,21,1,3,0,7,1,4,0,3
Jenkins Maven Plugin,ch.sourcepond.maven.plugin.jenkins.process.cmd,NoCertificateCheck,0,12,0,0,0,5,0,3,0,3
Jenkins Maven Plugin,ch.sourcepond.maven.plugin.jenkins.process.cmd,PrivateKey,0,18,0,2,0,5,0,4,0,3
Jenkins Maven Plugin,ch.sourcepond.maven.plugin.jenkins.process.cmd,NoKeyAuth,0,12,0,0,0,5,0,3,0,3
Jenkins Maven Plugin,ch.sourcepond.maven.plugin.jenkins.process.cmd,Java,0,19,0,0,0,7,0,3,0,3
